Wall time,Step,Value
1701179033.395991,42,0.2614462077617645
1701179037.88075,45,0.276494562625885
1701179076.770652,71,0.3523220419883728
1701179111.608243,94,0.3849506676197052
1701179210.764222,158,0.4326847493648529
1701179224.215686,167,0.4346168041229248
1701179320.340656,229,0.45054349303245544
1701179327.943998,234,0.45176196098327637
1701179359.610805,255,0.463104248046875
1701179386.494111,273,0.47331205010414124
1701179441.600614,308,0.4912014603614807
1701179444.62455,310,0.4922126233577728
1701179456.682352,318,0.49613049626350403
1701179614.716461,421,0.5409138202667236
1701179673.222306,460,0.5526538491249084
1701179694.157379,474,0.5568420886993408
1701179790.906999,536,0.5737168192863464
1701179831.381048,563,0.5786929130554199
1701179855.353565,579,0.5819908380508423
1701179865.856332,586,0.5834619998931885
1701179940.848569,634,0.5924089550971985
1701179960.351109,647,0.5947989225387573
1701179981.340017,661,0.5969953536987305
1701179996.306986,671,0.598504900932312
1701180063.558059,714,0.6055070161819458
1701180075.540714,722,0.6066087484359741
1701180149.143358,771,0.6149105429649353
1701180170.122801,785,0.6171974539756775
1701180173.105975,787,0.6175940036773682
1701180198.513225,802,0.6201646327972412
1701180207.495101,808,0.6211468577384949
1701180249.820859,836,0.6258026957511902
1701180416.861566,945,0.6436889171600342
1701180455.920847,971,0.647987425327301
1701180457.424868,972,0.6481002569198608
1701180509.849391,1005,0.6524447202682495
1701180523.404333,1014,0.6535791158676147
1701180596.982291,1063,0.6610299944877625
1701180601.505687,1066,0.6614925265312195
1701180642.155525,1093,0.6653621792793274
1701180661.562845,1104,0.6669046878814697
1701180775.989613,1180,0.6771406531333923
1701180901.372964,1261,0.6865156888961792
1701180986.920234,1316,0.6929396986961365
1701180991.464142,1319,0.6932765245437622
1701181012.577204,1333,0.6947912573814392
1701181018.605053,1337,0.6952424049377441
1701181091.022499,1385,0.7002446055412292
1701181101.495285,1392,0.7010162472724915
1701181137.490334,1414,0.70343416929245
1701181156.848658,1426,0.7047126889228821
1701181171.826089,1436,0.7057128548622131
1701181217.060666,1466,0.7084078788757324
1701181254.514487,1491,0.7111102938652039
1701181305.638236,1523,0.7139056324958801
1701181349.488484,1552,0.7165164351463318
1701181373.527673,1568,0.7179931402206421
1701181397.581133,1584,0.7194992303848267
1701181432.065351,1605,0.721542239189148
1701181484.909405,1640,0.7243820428848267
1701181561.512816,1691,0.7284786701202393
1701181591.418114,1709,0.7297560572624207
1701181605.007315,1718,0.7304074168205261
1701181626.142468,1732,0.7314988374710083
1701181629.144454,1734,0.7316057085990906
1701181633.630422,1737,0.7318352460861206
1701181700.202197,1781,0.7349361777305603
1701181798.344788,1844,0.7392699718475342
1701181811.870808,1853,0.7398867607116699
1701181831.402733,1866,0.7408819198608398
1701181835.904026,1869,0.7410594820976257
1701181847.919903,1877,0.7415759563446045
1701181911.48604,1917,0.7437190413475037
