Wall time,Step,Value
1701179033.397036,42,1.265234351158142
1701179037.88178,45,1.2371034622192383
1701179076.77156,71,1.09108304977417
1701179111.609093,94,1.0273003578186035
1701179210.765148,158,0.9406368136405945
1701179224.21657,167,0.9339891076087952
1701179320.341561,229,0.9036028385162354
1701179327.944955,234,0.9017389416694641
1701179359.611609,255,0.8916918039321899
1701179386.494969,273,0.8831280469894409
1701179441.601553,308,0.8654868006706238
1701179444.625368,310,0.8642769455909729
1701179456.68319,318,0.860333263874054
1701179614.717369,421,0.8156930208206177
1701179673.223231,460,0.803962230682373
1701179694.158468,474,0.7998695969581604
1701179790.907847,536,0.7828966975212097
1701179831.381944,563,0.7783932685852051
1701179855.354368,579,0.7749843001365662
1701179865.857288,586,0.7738223075866699
1701179940.849473,634,0.7644220590591431
1701179960.352134,647,0.761809229850769
1701179981.340869,661,0.759754478931427
1701179996.307999,671,0.7582952976226807
1701180063.558966,714,0.7500322461128235
1701180075.541684,722,0.7485583424568176
1701180149.144229,771,0.7395799160003662
1701180170.123739,785,0.7370507717132568
1701180173.106867,787,0.7364504933357239
1701180198.514191,802,0.7334088683128357
1701180207.496026,808,0.7321969270706177
1701180249.821665,836,0.7263731360435486
1701180416.862521,945,0.703203022480011
1701180455.921816,971,0.6970493793487549
1701180457.425666,972,0.6968847513198853
1701180509.850351,1005,0.6914839148521423
1701180523.405202,1014,0.6897763013839722
1701180596.983139,1063,0.6790986061096191
1701180601.50657,1066,0.678403913974762
1701180642.156503,1093,0.6727438569068909
1701180661.563722,1104,0.6705792546272278
1701180775.990539,1180,0.6558861136436462
1701180901.373968,1261,0.6420087218284607
1701180986.921043,1316,0.6324666142463684
1701180991.465098,1319,0.6318643093109131
1701181012.578035,1333,0.6295061111450195
1701181018.605975,1337,0.6288820505142212
1701181091.023387,1385,0.6217730641365051
1701181101.496157,1392,0.6206718683242798
1701181137.491229,1414,0.6169847846031189
1701181156.849526,1426,0.6149165630340576
1701181171.826874,1436,0.6134390234947205
1701181217.061548,1466,0.6094249486923218
1701181254.515333,1491,0.6055101156234741
1701181305.639047,1523,0.6013398170471191
1701181349.489325,1552,0.5976992249488831
1701181373.528558,1568,0.5955458283424377
1701181397.582038,1584,0.5932409763336182
1701181432.066321,1605,0.5897517204284668
1701181484.910228,1640,0.585612416267395
1701181561.513648,1691,0.5796833634376526
1701181591.41893,1709,0.5776548385620117
1701181605.008282,1718,0.5766317248344421
1701181626.143375,1732,0.574931800365448
1701181629.145388,1734,0.5748077034950256
1701181633.631354,1737,0.5744423866271973
1701181700.20307,1781,0.5695845484733582
1701181798.345679,1844,0.5628308057785034
1701181811.871633,1853,0.5618386268615723
1701181831.403682,1866,0.5602740049362183
1701181835.904884,1869,0.5600666403770447
1701181847.92074,1877,0.5592434406280518
1701181911.486892,1917,0.5561965107917786
1701181937.260734,1934,0.5548048615455627
1701181956.781973,1947,0.5536722540855408
1701182040.983328,2001,0.5488783121109009
1701182093.899521,2036,0.5459339618682861
1701182155.416837,2077,0.5426183342933655
1701182184.03632,2096,0.5413080453872681
1701182323.916355,2187,0.5348398089408875
1701182341.951148,2199,0.5340765118598938
1701182362.670522,2211,0.5331817865371704
1701182392.797168,2231,0.5316611528396606
1701182400.258988,2236,0.5312866568565369
1701182401.754596,2237,0.5312126278877258
1701182431.872947,2257,0.530015230178833
1701182439.347035,2262,0.5296854376792908
1701182509.938018,2307,0.5267671346664429
1701182528.042929,2319,0.5259379148483276
1701182580.658958,2354,0.5238440632820129
