Wall time,Step,Value
1701917685.731817,12939,131947.03125
1701917828.632175,13017,183838.96875
1701917859.816472,13034,130423.5
1701917908.274614,13061,107692.71875
1701917946.498683,13082,149376.0
1701917968.212097,13094,117924.8203125
1701917998.810755,13109,108013.984375
1701918240.406549,13239,128182.703125
1701918543.839991,13402,155407.84375
1701918551.044271,13406,114018.921875
1701918733.597081,13504,136201.21875
1701918809.756733,13546,105633.1328125
1701918902.229239,13597,89990.3984375
1701918947.643715,13620,134280.0
1701919054.277304,13679,126593.3671875
1701919299.126127,13810,95487.828125
1701919433.474074,13884,132966.25
1701919798.853857,14080,132067.09375
1701920063.883357,14221,155544.078125
1701920183.787653,14287,103708.953125
1701920196.56349,14294,83014.4921875
1701920247.464658,14320,114873.71875
1701920280.273254,14338,146512.125
1701920386.990889,14397,148196.59375
1701920481.311574,14447,130205.640625
1701920823.152466,14632,120738.609375
1701920833.909681,14638,118142.21875
1701920887.861171,14668,142630.390625
1701920904.019816,14677,99926.5
1701920922.031623,14687,98122.609375
1701921091.654578,14779,114167.109375
1701921107.742728,14788,107960.546875
1701921148.795749,14809,97357.78125
1701921261.365751,14873,106362.515625
1701921295.271173,14892,83779.265625
1701921659.230914,15090,125349.703125
1701921821.676596,15180,130289.2265625
1701921982.33174,15266,110991.625
1701922090.652621,15324,123285.7734375
1701922362.872314,15473,138079.75
1701922366.471808,15475,173325.109375
1701922431.402702,15507,143991.96875
1701922487.457379,15538,124818.5546875
1701922857.540457,15740,128848.4375
1701922900.48145,15764,118126.609375
1701922916.579835,15773,105968.953125
1701923018.710589,15828,137785.859375
1701923318.394778,15993,139223.203125
1701923505.464383,16095,124046.890625
1701923548.68243,16116,139603.59375
1701923792.615724,16249,146504.40625
1701923924.775929,16321,88063.671875
1701923965.993872,16343,129299.84375
1701923996.416403,16360,160758.1875
1701924082.944988,16406,140831.71875
1701924264.447708,16505,141025.890625
1701924612.443977,16697,151084.90625
1701924821.57569,16808,98448.0625
1701924823.375995,16809,142336.75
1701924910.517893,16857,126888.84375
1701924984.955826,16899,119670.15625
1701925290.230752,17066,88460.7265625
1701925345.748874,17097,134741.515625
1701925410.350134,17131,123872.4453125
1701925607.537646,17239,138542.9375
1701925666.371984,17272,100820.53125
1701925702.249176,17292,114661.1640625
1701925750.526072,17317,148138.9375
1701925789.825085,17339,157631.40625
1701925911.482948,17405,135912.03125
1701925981.15977,17444,133201.71875
1701925998.898354,17454,135191.53125
1701926162.215966,17543,85353.796875
1701926187.193282,17557,128834.859375
1701926239.402837,17586,119468.9375
1701926253.753323,17594,132594.6875
1701926309.130151,17623,156569.6875
1701926489.872717,17722,125908.984375
1701926911.173639,17953,170305.03125
1701926961.336289,17981,140521.96875
1701927030.844737,18018,123702.546875
1701927092.465414,18053,108466.328125
1701927113.570214,18065,119287.75
1701927229.472337,18129,74813.3984375
1701927470.056352,18264,127753.9765625
1701927568.135201,18318,117936.765625
1701927803.528957,18451,127617.2578125
1701927805.293637,18452,104408.578125
1701928053.801656,18592,85065.484375
1701928274.146719,18713,137356.65625
1701928286.911974,18720,142017.953125
1701928515.51676,18845,149804.859375
1701928722.342212,18958,126921.484375
1701928810.423145,19005,130443.6328125
1701928887.847851,19048,124699.015625
1701929013.982667,19116,108616.75
1701929109.115898,19169,122280.78125
1701929296.790083,19271,113305.0390625
1701929765.663251,19525,120455.109375
1701929776.385977,19531,107153.2265625
1701929976.222375,19640,141930.3125
1701930001.311758,19654,129655.9921875
1701930143.410399,19731,151066.671875
1701930154.183674,19737,104245.609375
1701930312.901752,19823,98815.7890625
1701930354.129974,19846,92470.34375
1701930483.092949,19916,150712.375
