Wall time,Step,Value
1701439081.366268,1844,3266545.5
1701439094.459598,1853,3171910.0
1701439113.353191,1866,3123742.5
1701439117.703701,1869,3004440.25
1701439129.479096,1877,2917180.0
1701439187.859322,1917,2810506.5
1701439212.704039,1934,2909167.5
1701439231.732679,1947,3168262.25
1701439313.508955,2001,3066230.25
1701439364.778016,2036,3168483.5
1701439424.53047,2077,3304204.75
1701439452.318203,2096,3209973.5
1701439585.346843,2187,3039441.0
1701439602.951305,2199,2930767.0
1701439620.479311,2211,2988912.5
1701439649.815482,2231,2945723.25
1701439657.073004,2236,3019247.5
1701439658.536743,2237,2956413.5
1701439687.680488,2257,3081985.0
1701439695.010996,2262,3078548.25
1701439761.086502,2307,2948496.25
1701439778.676518,2319,3141939.75
1701439829.819954,2354,2972628.75
1701439880.99901,2389,3069443.5
1701439882.462115,2390,3011054.5
1701439885.403849,2392,2979582.0
1701439949.843601,2436,2962529.25
1701439974.740965,2453,2892425.5
1701439977.6683,2455,3018707.0
1701439984.977936,2460,3032374.75
1701440022.077652,2485,2871291.0
1701440023.542286,2486,3043494.75
1701440038.499278,2496,3053549.25
1701440041.458687,2498,3150629.25
1701440051.862831,2503,2942860.5
1701440094.752341,2532,2956599.25
1701440116.725033,2547,3008444.0
1701440125.602195,2553,3021458.5
1701440319.367493,2685,2940239.75
1701440400.072584,2740,3112867.5
1701440420.57178,2754,2931988.0
1701440471.964036,2789,2946015.0
1701440628.012086,2896,2946256.75
1701440731.835846,2967,3015284.0
1701440799.12805,3011,3015183.5
1701440838.690759,3038,3008323.75
1701440843.067755,3041,2980456.5
1701440927.503594,3099,3001853.0
1701441018.233468,3161,2758281.25
1701441069.474195,3196,2891483.5
1701441119.366582,3230,3109070.5
1701441139.781704,3244,2870099.75
1701441142.673621,3246,2842045.0
1701441144.122955,3247,3100914.25
1701441229.054026,3305,2857550.5
1701441333.053268,3376,2997417.5
1701441380.264269,3408,2935560.5
1701441440.150131,3449,2954581.0
1701441485.52762,3480,2882360.0
1701441667.074217,3600,2936800.0
1701441693.442824,3618,2819431.5
1701441696.381169,3620,2719046.25
1701441770.911678,3670,3023751.25
1701441852.662012,3726,2761521.0
1701441874.580587,3741,2859987.5
1701441950.50445,3793,3136006.25
1701441981.300271,3814,3053403.75
1701441991.581001,3821,2851198.0
1701442054.135319,3864,2900887.75
1701442147.978477,3928,2695905.5
1701442188.915152,3956,2737480.75
1701442230.029167,3984,2891833.75
1701442308.861128,4036,2832971.5
1701442399.530852,4098,3041394.5
1701442415.599491,4109,2908669.5
1701442522.422926,4182,2930413.75
1701442542.873189,4196,3040073.0
1701442551.747858,4202,2934990.5
1701442588.260378,4227,2705012.5
1701442595.597085,4232,3043218.5
1701442641.447103,4263,2746277.25
1701442702.188107,4304,2755507.0
1701442721.283259,4317,2789315.0
1701442724.21882,4319,2921517.25
1701442843.451913,4400,2858429.5
1701442978.289917,4492,2834314.0
1701443006.292782,4509,2752724.0
1701443037.077911,4530,2887737.5
1701443180.947981,4628,2723458.5
1701443233.976163,4664,2683862.5
1701443239.9204,4668,2895190.5
1701443251.575259,4676,2976826.0
1701443360.201826,4750,2834476.0
1701443416.158216,4788,2843827.25
1701443437.806512,4802,2670826.25
1701443493.505701,4840,2779770.0
1701443511.057197,4852,2833765.5
1701443572.463623,4894,2860530.0
1701443671.56054,4962,2802210.5
1701443684.748036,4971,2768077.0
1701443689.167718,4974,2707190.5
1701443802.945459,5050,2802894.75
1701443805.843697,5052,2879578.5
1701443884.525311,5106,2593259.75
1701443925.520351,5134,2823063.5
1701444022.385628,5200,2605675.0
1701444079.451316,5239,2453834.25
1701444211.072506,5329,2730529.5
1701444234.460781,5345,2594865.5
1701444254.860795,5359,2695537.5
1701444343.674362,5420,2655973.75
1701444375.815943,5442,2628089.25
1701444485.743541,5515,2516258.75
1701444488.652563,5517,2820185.5
1701444537.834341,5549,2577278.5
1701444593.712484,5587,2636518.0
1701444706.523177,5664,2446426.75
1701444728.447846,5679,2529449.0
1701444792.639021,5723,2664085.25
1701444917.071527,5808,2449197.5
1701444941.799668,5825,2569796.5
1701444946.123101,5828,2601221.75
1701444996.098304,5862,2622123.75
1701444999.119688,5864,2438115.25
1701445009.462775,5871,2553819.75
1701445062.345635,5907,2562761.25
1701445092.99491,5928,2522030.5
1701445127.894961,5952,2574958.0
1701445143.902176,5963,2477723.0
1701445183.33539,5990,2456171.0
1701445215.693492,6010,2568575.5
1701445377.492819,6121,2347985.5
1701445392.038982,6131,2363297.0
1701445464.928021,6181,2396658.0
1701445492.855916,6200,2413734.0
1701445511.787592,6213,2348636.25
1701445520.587957,6219,2426565.0
1701445539.642298,6232,2319941.5
1701445622.870215,6289,2439628.25
1701445656.571382,6312,2416197.0
1701445663.850401,6317,2310487.0
1701445698.98264,6341,2350988.5
1701445731.04161,6363,2417245.0
1701445749.972904,6376,2273937.0
1701445784.941368,6400,2243393.0
1701445924.999931,6496,2361575.25
1701445963.220756,6520,2300885.75
1701446042.247805,6574,2285095.5
1701446056.969912,6584,2249147.0
1701446084.846399,6603,2338375.0
1701446163.700833,6657,2255301.0
1701446220.947652,6696,2321405.5
1701446225.318322,6699,2147980.0
1701446242.974449,6711,2221138.5
1701446288.356898,6742,2297225.5
1701446440.607312,6846,2307692.5
1701446452.263773,6854,2023114.0
1701446474.199315,6869,2189815.25
1701446615.9504,6966,2099103.0
